Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,194.399994,197.000000,192.000000,194.199997,186.206345,18821791
2021-11-23,193.250000,202.399994,193.149994,201.850006,193.541458,14753654
2021-11-24,202.199997,207.449997,202.000000,203.300003,194.931778,13590359
2021-11-25,202.600006,205.000000,201.250000,204.250000,195.842667,13903091
2021-11-26,204.050003,204.949997,200.800003,202.000000,193.685287,9610903
2021-11-29,199.000000,204.000000,198.500000,200.250000,192.007309,12049611
2021-11-30,200.300003,209.500000,200.300003,206.750000,198.239761,28304736
2021-12-01,207.000000,208.750000,204.699997,207.199997,198.671234,15249613
2021-12-02,209.000000,216.000000,206.500000,214.500000,205.670761,25319133
2021-12-03,213.149994,216.449997,205.500000,206.100006,197.616531,35710637
2021-12-06,207.350006,208.000000,201.350006,202.000000,193.685287,8491835
2021-12-07,202.600006,206.949997,202.149994,205.800003,197.328873,6036827
2021-12-08,205.149994,207.649994,203.550003,204.800003,196.370041,6591337
2021-12-09,205.500000,206.449997,202.100006,203.199997,194.835892,4316567
2021-12-10,204.250000,204.250000,201.850006,202.649994,194.308517,4623302
2021-12-13,205.500000,209.649994,203.699997,204.399994,195.986496,16236095
2021-12-14,204.100006,213.149994,203.199997,212.250000,203.513382,36031527
2021-12-15,213.100006,215.649994,207.800003,209.850006,201.212173,11405480
2021-12-16,211.399994,211.800003,206.300003,208.199997,199.630066,10058053
2021-12-17,208.199997,210.500000,205.050003,209.949997,201.308044,11407061
2021-12-20,210.750000,212.649994,207.500000,209.850006,201.212173,16904435
2021-12-21,211.449997,211.750000,204.800003,206.600006,198.095947,13174884
2021-12-22,199.800003,203.000000,198.000000,201.550003,196.101364,11062674
2021-12-23,202.500000,209.600006,202.050003,208.350006,202.717545,11949367
2021-12-24,208.199997,208.699997,204.850006,205.399994,199.847275,6731977
2021-12-27,205.399994,207.250000,205.000000,206.100006,200.528366,6486141
2021-12-28,206.649994,208.649994,203.300003,205.600006,200.041885,11802155
2021-12-29,203.000000,205.899994,202.699997,204.600006,199.068909,12879708
2021-12-30,204.600006,211.399994,201.649994,205.350006,199.798645,65610905
2021-12-31,204.000000,206.199997,203.550003,204.399994,198.874313,7381668
2022-01-03,205.399994,206.949997,204.149994,205.000000,199.458099,5557541
2022-01-04,206.300003,213.000000,205.500000,210.600006,204.906708,11088068
2022-01-05,210.000000,211.350006,208.050003,208.649994,203.009415,7173831
2022-01-06,207.750000,208.699997,204.649994,205.949997,200.382416,4211949
2022-01-07,206.949997,208.500000,204.500000,205.199997,199.652679,8931187
2022-01-10,207.250000,207.250000,203.449997,204.000000,198.485123,8314283
2022-01-11,204.550003,205.800003,203.500000,203.850006,198.339188,5406592
2022-01-12,206.000000,206.699997,204.350006,204.949997,199.409439,8263605
2022-01-13,207.600006,211.500000,206.550003,208.000000,202.376999,15392106
2022-01-14,207.949997,209.649994,206.550003,207.750000,202.133759,10637741
2022-01-17,209.149994,209.550003,205.800003,206.350006,200.771606,5680905
2022-01-18,206.250000,207.850006,204.600006,205.149994,199.604034,6356567
2022-01-19,206.000000,207.399994,201.050003,204.649994,199.117554,10293276
